window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2011-06-01 → 2012-06-01,3444721.7019494027,47504448.71908882,19453247.216151364,31285902.029378932,36.333692008519655,63.18963419042336,26.855942181903707
2011-06-02 → 2012-06-02,3444721.7019494027,47504448.71908882,19476897.88323836,31301594.31100993,36.38737065949677,63.22525012064665,26.837879461149882
2011-06-03 → 2012-06-03,3444721.7019494027,47504448.71908882,19503711.272162486,31314639.27079275,36.4482275706476,63.25485756641622,26.806629995768617
2011-06-04 → 2012-06-04,3444721.7019494027,47504448.71908882,19536423.888429075,31328008.97935438,36.52247364179068,63.28520207707656,26.76272843528588
2011-06-05 → 2012-06-05,3444721.7019494027,47504448.71908882,19571761.911068425,31332438.722312495,36.602678457008,63.29525602715299,26.69257757014499
2011-06-06 → 2012-06-06,3444721.7019494027,47504448.71908882,19605322.678669356,31330881.379864015,36.67884953175813,63.29172141049983,26.6128718787417
2011-06-07 → 2012-06-07,3444721.7019494027,47504448.71908882,19639284.495012965,31332028.13706087,36.755930845335946,63.29432414382229,26.53839329848634
2011-06-08 → 2012-06-08,3444721.7019494027,47504448.71908882,19676020.929990415,31332083.63283994,36.83930956205645,63.29445009961645,26.45514053756
2011-06-09 → 2012-06-09,3473362.640770847,47504448.71908882,19715668.319504112,31328329.103643775,36.88826945999723,63.262047212115945,26.373777752118713
2011-06-10 → 2012-06-10,4158108.0279712505,47504448.71908882,19756128.058496833,31320325.1686446,35.984629340861275,62.663229946511656,26.67860060565038
2011-06-11 → 2012-06-11,5117097.323140024,47504448.71908882,19793568.37194995,31308777.459980417,34.62464760233318,61.791263842316134,27.166616239982957
2011-06-12 → 2012-06-12,5117097.323140024,47504448.71908882,19822668.84515067,31290849.78609076,34.693301274342275,61.7489689753352,27.055667700992927
2011-06-13 → 2012-06-13,5117097.323140024,47504448.71908882,19854324.091147907,31301009.027130138,34.76798215190299,61.77293659941362,27.004954447510627
2011-06-14 → 2012-06-14,5137652.447926851,47504448.71908882,19886083.580141664,31295943.622263085,34.811296652736765,61.74243387891364,26.931137226176872
2011-06-15 → 2012-06-15,5137652.447926851,47504448.71908882,19913704.169289757,31287844.786641464,34.87649060549947,61.723317881636476,26.846827276137006
2011-06-16 → 2012-06-16,5577443.133500567,47504448.71908882,19941988.305521075,31279276.720412847,34.26084207873431,61.30138136014865,27.04053928141434
2011-06-17 → 2012-06-17,5710788.495499954,47504448.71908882,19970739.467115097,31266317.152277287,34.11989018269007,61.146902472910156,27.027012290220085
2011-06-18 → 2012-06-18,5710788.495499954,47504448.71908882,19996264.077343922,31252160.740087103,34.18096310641169,61.113030320735774,26.932067214324086
2011-06-19 → 2012-06-19,5710788.495499954,47504448.71908882,20022070.85044098,31255166.42727734,34.242711163315526,61.12022205071146,26.877510887395935
2011-06-20 → 2012-06-20,5710788.495499954,47504448.71908882,20047217.892906416,31250334.37837464,34.30288067785649,61.10866037155521,26.805779693698717
2011-06-21 → 2012-06-21,5710788.495499954,47504448.71908882,20072494.81778478,31241268.65270713,34.36336096300773,61.08696874268374,26.72360777967601
2011-06-22 → 2012-06-22,5710788.495499954,47504448.71908882,20098446.800479826,31231212.43500691,34.42545646399091,61.06290715619808,26.637450692207167
