date,weight,PriceUSD,MA20,window_year,spd,spd_percentile
2011-06-01,0.0012343031383535,9.62377723202805,,2011,10390930.46202262,16
2011-06-02,0.0005699721419703,10.7027602279369,,2011,9343384.124309802,13
2011-06-03,0.0003477860567228,14.2646467738165,,2011,7010338.327027852,8
2011-06-04,0.0001400580333255,18.3127387258913,,2011,5460679.666587275,5
2011-06-05,7.523103330959298e-05,16.5433423962595,,2011,6044727.697989875,6
2011-06-06,0.00010727501663,18.4020986440678,,2011,5434162.8057860965,5
2011-06-07,8.742252728969955e-05,23.2378784628872,,2011,4303318.831781834,2
2011-06-08,5.555072920654147e-05,29.0299213267095,,2011,3444721.7019494027,0
2011-06-09,4.013123704733068e-05,28.7905440181181,,2011,3473362.640770847,0
2011-06-10,4.909915408285102e-05,24.0493992285213,,2011,4158108.0279712505,2
2011-06-11,8.285449015833257e-05,14.7497466277031,,2011,6779777.478494386,8
2011-06-12,0.0002918998417556,18.8501447311514,,2011,5304999.055776047,4
2011-06-13,0.0001651682370377,19.5423291145529,,2011,5117097.323140024,4
2011-06-14,0.0001607363877414,19.2577355055523,,2011,5192718.529713344,4
2011-06-15,0.000176550328547,19.4641426241964,,2011,5137652.447926851,4
2011-06-16,0.0001817914193725,17.9293625423729,,2011,5577443.133500567,5
2011-06-17,0.0002328455533991,15.4363689129164,,2011,6478207.4440009575,7
2011-06-18,0.0003500272132874,16.8754045353594,,2011,5925783.8702751,6
2011-06-19,0.0002910054862829,17.5107167913501,,2011,5710788.495499954,5
2011-06-20,0.0002762571087935,17.5107167913501,18.504188760637057,2011,5710788.495499954,5
2011-06-21,0.0002878820719061,17.5107167913501,18.89853573860316,2011,5710788.495499954,5
2011-06-22,0.0002999145001775,17.5107167913501,19.23893356677382,2011,5710788.495499954,5
2011-06-23,0.0003123844159477,17.5107167913501,19.4012370676505,2011,5710788.495499954,5
2011-06-24,0.0003253959441347,17.5107167913501,19.36113597092344,2011,5710788.495499954,5
2011-06-25,0.0003384888071514,17.5107167913501,19.40950469067797,2011,5710788.495499954,5
2011-06-26,0.0003521503461194,16.3613420157802,19.30746685926359,2011,6111968.071051381,6
2011-06-27,0.000447916078433,16.7522858132671,18.983187226782587,2011,5969334.639742372,6
2011-06-28,0.0004370603945592,16.9618353071303,18.379782925803624,2011,5895588.430690792,6
2011-06-29,0.0004423921598124,16.8545683179427,17.782984140794852,2011,5933109.535267302,6
2011-06-30,0.0004782961034639,16.1852627808299,17.389777318410285,2011,6178460.081503386,6
2011-07-01,0.0005983427929824,15.4203573991818,17.42330785698422,2011,6484934.000641644,7
2011-07-02,0.0008001882273549,15.38284406955,17.24994282390415,2011,6500748.466790207,7
2011-07-03,0.0008995023145605,15.4575505604909,17.04570389620105,2011,6469330.286753027,7
2011-07-04,0.0009018371824402,13.8527968123904,16.775456961542954,2011,7218758.879835492,9
2011-07-05,0.0014203883064161,12.9648177147867,16.45049071607247,2011,7713182.105595476,10
2011-07-06,0.0017803382071462,14.7147835832846,16.289761768118055,2011,6795886.560886696,8
2011-07-07,0.0009868978083465,14.7972891613092,16.257807780537696,2011,6757994.583323561,8
2011-07-08,0.0009353564065468,14.2990376969608,16.128989438617765,2011,6993477.611521688,8
2011-07-09,0.0011029332801358,14.3815006697838,15.972528632539449,2011,6953377.279333904,8
2011-07-10,0.0011315655975403,14.6229375511397,15.82813967052893,2011,6838571.227585259,8
2011-07-11,0.0010459415215559,14.3101554330801,15.66811160261543,2011,6988044.292575244,8
2011-07-12,0.001194137380455,14.0212726215663,15.49363939412624,2011,7132020.230901774,8
2011-07-13,0.0012976851981795,13.9714545225015,15.316676280683811,2011,7157450.918152195,8
2011-07-14,0.0012792220613879,13.997974547633,15.141039168497954,2011,7143890.6864500325,8
2011-07-15,0.0012200794136727,13.8063904056108,14.955822849210993,2011,7243022.764252766,9
2011-07-16,0.0013043313459698,13.7130792992402,14.82340971338399,2011,7292308.154707506,9
2011-07-17,0.00130529843728,13.2581353109293,14.648702188267098,2011,7542538.800125635,9
2011-07-18,0.0015543451830841,13.6305212504383,14.4821364854325,2011,7336476.585353214,9
2011-07-19,0.0012264476963924,13.8247948386908,14.330647811469904,2011,7233380.398538337,9
2011-07-20,0.0010769393923614,13.6783305920514,14.205301202030975,2011,7310833.681568634,9
2011-07-21,0.0011219831596732,13.6118084418469,14.114873754164233,2011,7346562.393029947,9
